('tiny5m4', {'Total Match': 1384, 'Recall': 0.01384, 'Search Time': 3.38128400000001, 'Given n*k': 100000, 'Found n*k': 9671, 'unique neighbors': 9719, 'issue': True, 'Total Indexing Count': 118.492471})
('trevi1', {'Total Match': 3681, 'Recall': 0.92025, 'Search Time': 30.04528600000001, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 48.641547})
('ukbench1', {'Total Match': 1883, 'Recall': 0.47075, 'Search Time': 1.133914, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 25.197612})
('uqv1', {'Total Match': 0, 'Recall': 0.0, 'Search Time': 0.0, 'Given n*k': 1000000, 'Found n*k': 0, 'unique neighbors': 0, 'issue': True})
('word2vec1', {'Total Match': 2524, 'Recall': 0.02524, 'Search Time': 10.826354999999698, 'Given n*k': 100000, 'Found n*k': 100000, 'unique neighbors': 100000, 'issue': False, 'Total Indexing Count': 44.890685})
('yahoomusic1', {'Total Match': 3856, 'Recall': 0.3856, 'Search Time': 1.064257000000001, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 5.24592})
('yahoomusic2', {'Total Match': 7225, 'Recall': 0.7225, 'Search Time': 2.7903910000000036, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 4.533899})
('yahoomusic3', {'Total Match': 9958, 'Recall': 0.9958, 'Search Time': 6.490384000000029, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 4.028615})
('yahoomusic4', {'Total Match': 9896, 'Recall': 0.9896, 'Search Time': 6.439268000000031, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 3.694053})
('yahoomusic5', {'Total Match': 9958, 'Recall': 0.9958, 'Search Time': 6.45526000000002, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 4.030418})
