('bigann8', {'Total Match': 2770, 'Recall': 0.277, 'Search Time': 0.5181879999999967, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 22.515687})
('bigann9', {'Total Match': 2233, 'Recall': 0.2233, 'Search Time': 0.32627299999999865, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 26.11313})
('cifar1', {'Total Match': 3486, 'Recall': 0.8715, 'Search Time': 2.337203, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 3.680325})
('cifar10', {'Total Match': 2651, 'Recall': 0.66275, 'Search Time': 1.3323669999999972, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 3.118741})
('cifar11', {'Total Match': 1892, 'Recall': 0.473, 'Search Time': 0.6540369999999994, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 3.116803})
('cifar2', {'Total Match': 3896, 'Recall': 0.974, 'Search Time': 4.7233540000000085, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 2.595863})
('cifar3', {'Total Match': 3903, 'Recall': 0.97575, 'Search Time': 7.556496000000009, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 2.656142})
('cifar4', {'Total Match': 3903, 'Recall': 0.97575, 'Search Time': 8.581384000000005, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 2.373586})
('cifar5', {'Total Match': 3902, 'Recall': 0.9755, 'Search Time': 8.971751000000001, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 2.112944})
('cifar6', {'Total Match': 3903, 'Recall': 0.97575, 'Search Time': 7.942595000000012, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 2.393734})
('cifar7', {'Total Match': 3903, 'Recall': 0.97575, 'Search Time': 7.609882000000008, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 2.175003})
('cifar8', {'Total Match': 3349, 'Recall': 0.83725, 'Search Time': 2.3300979999999987, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 3.157586})
('cifar9', {'Total Match': 2710, 'Recall': 0.6775, 'Search Time': 1.5419339999999981, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 3.330806})
('crawl1', {'Total Match': 73309, 'Recall': 0.073309, 'Search Time': 98.50033199996217, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 98.100002})
('crawl10', {'Total Match': 47661, 'Recall': 0.047661, 'Search Time': 61.66060899997435, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 94.072584})
('crawl11', {'Total Match': 30283, 'Recall': 0.030283, 'Search Time': 32.077849000007646, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 94.617351})
('crawl2', {'Total Match': 102066, 'Recall': 0.102066, 'Search Time': 203.086712999952, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 80.438975})
('crawl3', {'Total Match': 150280, 'Recall': 0.15028, 'Search Time': 441.7093399999444, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 80.142296})
('crawl4', {'Total Match': 260485, 'Recall': 0.260485, 'Search Time': 1013.5597009999436, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 72.202007})
('crawl5', {'Total Match': 356174, 'Recall': 0.356174, 'Search Time': 1875.458142001138, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 67.476641})
('crawl6', {'Total Match': 369083, 'Recall': 0.369083, 'Search Time': 2279.2235060008934, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 72.627627})
('crawl7', {'Total Match': 369083, 'Recall': 0.369083, 'Search Time': 2267.7946370008835, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 74.928619})
('crawl8', {'Total Match': 66454, 'Recall': 0.066454, 'Search Time': 90.70330299996283, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 92.863816})
('crawl9', {'Total Match': 52386, 'Recall': 0.052386, 'Search Time': 65.45556399997152, 'Given n*k': 1000000, 'Found n*k': 1000000, 'unique neighbors': 1000000, 'issue': False, 'Total Indexing Count': 100.52886})
('deep1', {'Total Match': 1234, 'Recall': 0.3085, 'Search Time': 1.883658999999996, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 39.907045})
('deep10', {'Total Match': 839, 'Recall': 0.20975, 'Search Time': 1.5392869999999976, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 37.214185})
('deep11', {'Total Match': 531, 'Recall': 0.13275, 'Search Time': 0.5078079999999987, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 36.390289})
('deep2', {'Total Match': 1646, 'Recall': 0.4115, 'Search Time': 2.883105, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 29.559386})
('deep3', {'Total Match': 2230, 'Recall': 0.5575, 'Search Time': 5.678195000000008, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 27.922514})
('deep4', {'Total Match': 3172, 'Recall': 0.793, 'Search Time': 20.046722, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 24.589705})
('deep5', {'Total Match': 3698, 'Recall': 0.9245, 'Search Time': 33.81376100000004, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 25.060745})
('deep6', {'Total Match': 3691, 'Recall': 0.92275, 'Search Time': 32.48058500000003, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 26.008401})
('deep7', {'Total Match': 3691, 'Recall': 0.92275, 'Search Time': 32.98800800000003, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 24.589329})
('deep8', {'Total Match': 1107, 'Recall': 0.27675, 'Search Time': 1.6710439999999969, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 38.072168})
('deep9', {'Total Match': 933, 'Recall': 0.23325, 'Search Time': 1.0213040000000009, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 40.276999})
('enron1', {'Total Match': 3281, 'Recall': 0.82025, 'Search Time': 3.796256000000004, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 22.337056})
('enron10', {'Total Match': 2796, 'Recall': 0.699, 'Search Time': 2.368214999999999, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 20.492514})
('enron11', {'Total Match': 2216, 'Recall': 0.554, 'Search Time': 1.2371849999999995, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 19.859958})
('enron2', {'Total Match': 3569, 'Recall': 0.89225, 'Search Time': 10.535848999999995, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 20.307054})
('enron3', {'Total Match': 3616, 'Recall': 0.904, 'Search Time': 12.962596999999985, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 17.457529})
('enron4', {'Total Match': 3592, 'Recall': 0.898, 'Search Time': 14.052830999999982, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 18.281349})
('enron5', {'Total Match': 3609, 'Recall': 0.90225, 'Search Time': 16.723978999999982, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 19.058318})
('enron6', {'Total Match': 3592, 'Recall': 0.898, 'Search Time': 15.999719999999954, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 21.42873})
('enron7', {'Total Match': 3592, 'Recall': 0.898, 'Search Time': 14.972401999999958, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 21.162387})
('enron8', {'Total Match': 3147, 'Recall': 0.78675, 'Search Time': 3.9644250000000043, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 19.635178})
('enron9', {'Total Match': 2887, 'Recall': 0.72175, 'Search Time': 2.7392090000000047, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 19.370484})
('gist1', {'Total Match': 1912, 'Recall': 0.01912, 'Search Time': 3.0247310000000103, 'Given n*k': 100000, 'Found n*k': 8058, 'unique neighbors': 8059, 'issue': True, 'Total Indexing Count': 156.385633})
('gist10', {'Total Match': 1219, 'Recall': 0.01219, 'Search Time': 1.377089999999997, 'Given n*k': 100000, 'Found n*k': 8058, 'unique neighbors': 8059, 'issue': True, 'Total Indexing Count': 149.864306})
('gist11', {'Total Match': 746, 'Recall': 0.00746, 'Search Time': 0.5723549999999984, 'Given n*k': 100000, 'Found n*k': 8058, 'unique neighbors': 8059, 'issue': True, 'Total Indexing Count': 147.731437})
('gist2', {'Total Match': 33948, 'Recall': 0.33948, 'Search Time': 55.24763499999785, 'Given n*k': 100000, 'Found n*k': 100000, 'unique neighbors': 100015, 'issue': False, 'Total Indexing Count': 146.315938})
('gist3', {'Total Match': 48638, 'Recall': 0.48638, 'Search Time': 96.85903299999595, 'Given n*k': 100000, 'Found n*k': 100000, 'unique neighbors': 100015, 'issue': False, 'Total Indexing Count': 160.838445})
('gist4', {'Total Match': 79621, 'Recall': 0.79621, 'Search Time': 289.8449929999943, 'Given n*k': 100000, 'Found n*k': 100000, 'unique neighbors': 100015, 'issue': False, 'Total Indexing Count': 147.722482})
('gist5', {'Total Match': 92704, 'Recall': 0.92704, 'Search Time': 493.0611349999926, 'Given n*k': 100000, 'Found n*k': 100000, 'unique neighbors': 100015, 'issue': False, 'Total Indexing Count': 137.153011})
('gist6', {'Total Match': 93314, 'Recall': 0.93314, 'Search Time': 470.71121199999413, 'Given n*k': 100000, 'Found n*k': 100000, 'unique neighbors': 100015, 'issue': False, 'Total Indexing Count': 135.499279})
('gist7', {'Total Match': 93314, 'Recall': 0.93314, 'Search Time': 506.09601799999376, 'Given n*k': 100000, 'Found n*k': 100000, 'unique neighbors': 100015, 'issue': False, 'Total Indexing Count': 144.441675})
('gist8', {'Total Match': 1655, 'Recall': 0.01655, 'Search Time': 1.9197919999999933, 'Given n*k': 100000, 'Found n*k': 8084, 'unique neighbors': 8085, 'issue': True, 'Total Indexing Count': 153.369927})
('gist9', {'Total Indexing Count': 160.791554})
